Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Kross, S., Peng, R.D., Caffo, B.S., Gooding, I., Leek, J.T.","57191953476;8297055600;35069047000;55488736900;8558142900;","The Democratization of Data Science Education",2020,"American Statistician","74","1",,"1","7",,17,"10.1080/00031305.2019.1668849","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074567757&doi=10.1080%2f00031305.2019.1668849&partnerID=40&md5=4efdeb74b140e1a57860f49f2542163a",Article,"Final","",Scopus,2-s2.0-85074567757
"De Silva, T., Vedula, S.S., Perdomo-Pantoja, A., Vijayan, R., Doerr, S.A., Uneri, A., Han, R., Ketcha, M.D., Skolasky, R.L., Caffo, B., Hager, G., Witham, T., Theodore, N., Siewerdsen, J.H.","56503417800;41361963800;57151440500;57190661612;57209858264;36622501700;57194495726;56896064600;6603590421;35069047000;7102912496;6602836796;7006310221;7004498585;","SpineCloud: Image analytics for predictive modeling of spine surgery outcomes",2020,"Proceedings of SPIE - The International Society for Optical Engineering","11315",,"113151O","","",,,"10.1117/12.2566372","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085258251&doi=10.1117%2f12.2566372&partnerID=40&md5=afb6b55018da7db40d6a16e315efaec5",Conference Paper,"Final","",Scopus,2-s2.0-85085258251
"de Aguiar, V., Zhao, Y., Faria, A., Ficek, B., Webster, K.T., Wendt, H., Wang, Z., Hillis, A.E., Onyike, C.U., Frangakis, C., Caffo, B., Tsapkini, K.","56481545300;57202332071;35478593200;56394402900;8734051000;57208472244;57202333724;7004956247;6602691382;7003829132;35069047000;6602810995;","Brain volumes as predictors of tDCS effects in primary progressive aphasia",2020,"Brain and Language","200",,"104707","","",,20,"10.1016/j.bandl.2019.104707","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074399345&doi=10.1016%2fj.bandl.2019.104707&partnerID=40&md5=0d3ebd56cb06b73f2b4cbe31eac5990f",Article,"Final","All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85074399345
"Liu, C.-F., Padhy, S., Ramachandran, S., Wang, V.X., Efimov, A., Bernal, A., Shi, L., Vaillant, M., Ratnanather, J.T., Faria, A.V., Caffo, B., Albert, M., Miller, M.I.","57204952235;57219754589;57193239622;57210602067;57210604403;57210600683;57210600208;7004052399;57221685340;35478593200;35069047000;7403276705;35425199300;","Using deep Siamese neural networks for detection of brain asymmetries associated with Alzheimer's Disease and Mild Cognitive Impairment",2019,"Magnetic Resonance Imaging","64",,,"190","199",,34,"10.1016/j.mri.2019.07.003","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071137520&doi=10.1016%2fj.mri.2019.07.003&partnerID=40&md5=139d6fcde918041f4a7da90b1b71555a",Article,"Final","All Open Access, Bronze, Green",Scopus,2-s2.0-85071137520
"Ye, C., Albert, M., Brown, T., Bilgel, M., Hsu, J., Ma, T., Caffo, B., Miller, M.I., Mori, S., Oishi, K.","56369884700;7403276705;8979849800;55749795500;56937616300;57194030386;35069047000;35425199300;35418783800;7202376096;","Extended multimodal whole-brain anatomical covariance analysis: detection of disrupted correlation networks related to amyloid deposition",2019,"Heliyon","5","7","e02074","","",,2,"10.1016/j.heliyon.2019.e02074","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069576482&doi=10.1016%2fj.heliyon.2019.e02074&partnerID=40&md5=2fed388dedc087a8c846df9f14276498",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85069576482
"Lindquist, M.A., Geuter, S., Wager, T.D., Caffo, B.S.","7007030971;47761288600;6603627020;35069047000;","Modular preprocessing pipelines can reintroduce artifacts into fMRI data",2019,"Human Brain Mapping","40","8",,"2358","2376",,74,"10.1002/hbm.24528","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060332761&doi=10.1002%2fhbm.24528&partnerID=40&md5=9fd9ea8a85b0817c61862fafa3664015",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85060332761
"Shappell, H., Caffo, B.S., Pekar, J.J., Lindquist, M.A.","57222352467;35069047000;7003771238;7007030971;","Improved state change estimation in dynamic functional connectivity using hidden semi-Markov models",2019,"NeuroImage","191",,,"243","257",,21,"10.1016/j.neuroimage.2019.02.013","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061834587&doi=10.1016%2fj.neuroimage.2019.02.013&partnerID=40&md5=8704244aa2063a6b9bdfd236c7fa1c0e",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85061834587
"Muschelli, J., Gherman, A., Fortin, J.-P., Avants, B., Whitcher, B., Clayden, J.D., Caffo, B.S., Crainiceanu, C.M.","40462056100;14421246100;56649768000;6602804684;9036352800;57202638198;35069047000;6603085071;","Neuroconductor: An R platform for medical imaging analysis",2019,"Biostatistics","20","2",,"218","239",,26,"10.1093/biostatistics/kxx068","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85056859864&doi=10.1093%2fbiostatistics%2fkxx068&partnerID=40&md5=9c9ed3f66e94efd792ead8c91cfd2516",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85056859864
"Ficek, B.N., Wang, Z., Zhao, Y., Webster, K.T., Desmond, J.E., Hillis, A.E., Frangakis, C., Faria, A.V., Caffo, B., Tsapkini, K.","56394402900;57202333724;57202332071;8734051000;7005255323;7004956247;7003829132;35478593200;35069047000;6602810995;","Erratum: “The effect of tDCS on functional connectivity in primary progressive aphasia”(NeuroImage: Clinical (2018)19 (703–715), (S2213158218301682), (10.1016/j.nicl.2018.05.023))",2019,"NeuroImage: Clinical","22",,"101734","","",,2,"10.1016/j.nicl.2019.101734","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062806243&doi=10.1016%2fj.nicl.2019.101734&partnerID=40&md5=ddbb4b41367a788d4a6e85623882fe19",Erratum,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85062806243
"Charkhchi, P., Wang, B., Caffo, B., Yousem, D.M.","57057752300;57208720329;35069047000;7005911220;","Bias in neuroradiology peer review: Impact of a “ding” on “dinging” others",2019,"American Journal of Neuroradiology","40","1",,"19","24",,4,"10.3174/ajnr.A5908","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059904139&doi=10.3174%2fajnr.A5908&partnerID=40&md5=fc5e1b05c872f65346b14f9166ba5ab2",Review,"Final","All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85059904139
"Ngufor, C., Van Houten, H., Caffo, B.S., Shah, N.D., McCoy, R.G.","36802355600;8709515400;35069047000;35249316000;55293516000;","Mixed effect machine learning: A framework for predicting longitudinal change in hemoglobin A1c",2019,"Journal of Biomedical Informatics","89",,,"56","67",,32,"10.1016/j.jbi.2018.09.001","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85057830461&doi=10.1016%2fj.jbi.2018.09.001&partnerID=40&md5=72e501f5d07936249bc52a5b64edb13f",Article,"Final","All Open Access, Bronze, Green",Scopus,2-s2.0-85057830461
"Mejia, A.F., Nebel, M.B., Barber, A.D., Choe, A.S., Pekar, J.J., Caffo, B.S., Lindquist, M.A.","56215449300;34873055300;8582425200;36908446600;7003771238;35069047000;7007030971;","Improved estimation of subject-level functional connectivity using full and partial correlation with empirical Bayes shrinkage",2018,"NeuroImage","172",,,"478","491",,18,"10.1016/j.neuroimage.2018.01.029","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85041699592&doi=10.1016%2fj.neuroimage.2018.01.029&partnerID=40&md5=e365a0a5e01a0317a04955118d01249c",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85041699592
"Chén, O.Y., Crainiceanu, C., Ogburn, E.L., Caffo, B.S., Wager, T.D., Lindquist, M.A.","57216819715;6603085071;14060943800;35069047000;6603627020;7007030971;","High-dimensional multivariate mediation with application to neuroimaging data",2018,"Biostatistics","19","2",,"121","136",,42,"10.1093/biostatistics/kxx027","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044742502&doi=10.1093%2fbiostatistics%2fkxx027&partnerID=40&md5=44b7fdc1fc85f59d24b7291bf0e7d842",Article,"Final","All Open Access, Bronze, Green",Scopus,2-s2.0-85044742502
"Sair, H.I., Hannawi, Y., Li, S., Kornbluth, J., Demertzi, A., Di Perri, C., Chabanne, R., Jean, B., Benali, H., Perlbarg, V., Pekar, J., Luyt, C.-E., Galanaud, D., Velly, L., Puybasset, L., Laureys, S., Caffo, B., Stevens, R.D.","14519858700;55566291800;57217797574;37665321500;24467199800;23492220700;40760937500;8688629200;57189985564;8390339900;7003771238;6602645715;6602600415;6507630069;7004266282;7004546122;35069047000;35269994900;","Early functional connectome integrity and 1-year recovery in comatose survivors of cardiac arrest",2018,"Radiology","287","1",,"247","255",,32,"10.1148/radiol.2017162161","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044276899&doi=10.1148%2fradiol.2017162161&partnerID=40&md5=e0f0ff6577370616720b84f6e88975dd",Article,"Final","All Open Access, Bronze, Green",Scopus,2-s2.0-85044276899
"Ficek, B.N., Wang, Z., Zhao, Y., Webster, K.T., Desmond, J.E., Hillis, A.E., Frangakis, C., Vasconcellos Faria, A., Caffo, B., Tsapkini, K.","56394402900;57202333724;57202332071;8734051000;7005255323;7004956247;7003829132;35478593200;35069047000;6602810995;","The effect of tDCS on functional connectivity in primary progressive aphasia",2018,"NeuroImage: Clinical","19",,,"703","715",,28,"10.1016/j.nicl.2018.05.023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85047923587&doi=10.1016%2fj.nicl.2018.05.023&partnerID=40&md5=1e485906bd4d56fa73c34d540e476054",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85047923587
"Syed, M.F., Lindquist, M.A., Pillai, J.J., Agarwal, S., Gujar, S.K., Choe, A.S., Caffo, B., Sair, H.I.","57209661225;7007030971;7004264827;7403190459;6507795849;36908446600;35069047000;14519858700;","Dynamic Functional Connectivity States between the Dorsal and Ventral Sensorimotor Networks Revealed by Dynamic Conditional Correlation Analysis of Resting-State Functional Magnetic Resonance Imaging",2017,"Brain Connectivity","7","10",,"635","642",,9,"10.1089/brain.2017.0533","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85038947876&doi=10.1089%2fbrain.2017.0533&partnerID=40&md5=49720946b0685c88cefc076901124964",Article,"Final","",Scopus,2-s2.0-85038947876
"Webb-Vargas, Y., Chen, S., Fisher, A., Mejia, A., Xu, Y., Crainiceanu, C., Caffo, B., Lindquist, M.A.","36609486400;56427239900;57200903681;56215449300;57198771447;6603085071;35069047000;7007030971;","Big Data and Neuroimaging",2017,"Statistics in Biosciences","9","2",,"543","558",,5,"10.1007/s12561-017-9195-y","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85019831725&doi=10.1007%2fs12561-017-9195-y&partnerID=40&md5=6e7beb6837b29d5891fb01078cf09195",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85019831725
"Choe, A.S., Nebel, M.B., Barber, A.D., Cohen, J.R., Xu, Y., Pekar, J.J., Caffo, B., Lindquist, M.A.","36908446600;34873055300;8582425200;57213162244;57198771447;7003771238;35069047000;7007030971;","Comparing test-retest reliability of dynamic functional connectivity methods",2017,"NeuroImage","158",,,"155","175",,106,"10.1016/j.neuroimage.2017.07.005","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85022175614&doi=10.1016%2fj.neuroimage.2017.07.005&partnerID=40&md5=2e1e25828a0cec97690635425326599d",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85022175614
"Mejia, A.F., Nebel, M.B., Eloyan, A., Caffo, B., Lindquist, M.A.","56215449300;34873055300;38661178300;35069047000;7007030971;","PCA leverage: Outlier detection for high-dimensional functional magnetic resonance imaging data",2017,"Biostatistics","18","3",,"521","536",,17,"10.1093/biostatistics/kxw050","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85033403510&doi=10.1093%2fbiostatistics%2fkxw050&partnerID=40&md5=bafab2bf8e462d90407c76df2cb8a2d8",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85033403510
"Zhang, T., Yin, Q., Caffo, B., Sun, Y., Boatman-Reich, D.","55729066800;57195222655;35069047000;57195222450;23093222600;","Bayesian inference of high-dimensional, cluster-structured ordinary differential equation models with applications to brain connectivity studies",2017,"Annals of Applied Statistics","11","2",,"868","897",,7,"10.1214/17-AOAS1021","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85026286979&doi=10.1214%2f17-AOAS1021&partnerID=40&md5=bccc12777bef60539dc311a341d67787",Article,"Final","All Open Access, Bronze, Green",Scopus,2-s2.0-85026286979
"Barber, A.D., Caffo, B.S., Pekar, J.J., Mostofsky, S.H.","8582425200;35069047000;7003771238;7003584880;","Decoupling of reaction time-related default mode network activity with cognitive demand",2017,"Brain Imaging and Behavior","11","3",,"666","676",,5,"10.1007/s11682-016-9543-4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84961773064&doi=10.1007%2fs11682-016-9543-4&partnerID=40&md5=bf9fba4cedcaed7c9b09a5caa4dd1357",Article,"Final","All Open Access, Green",Scopus,2-s2.0-84961773064
"Yahyavi-Firouz-Abadi, N., Pillai, J.J., Lindquist, M.A., Calhoun, V.D., Agarwal, S., Airan, R.D., Caffo, B., Gujar, S.K., Sair, H.I.","9843002800;7004264827;7007030971;7003595227;7403190459;18633735800;35069047000;6507795849;14519858700;","Presurgical brain mapping of the ventral somatomotor network in patients with brain tumors using resting-state fMRI",2017,"American Journal of Neuroradiology","38","5",,"1006","1012",,15,"10.3174/ajnr.A5132","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85019874407&doi=10.3174%2fajnr.A5132&partnerID=40&md5=c7571fe167073f827a0ca8b6205da220",Article,"Final","All Open Access, Hybrid Gold",Scopus,2-s2.0-85019874407
"Chen, S., Huang, L., Qiu, H., Nebel, M.B., Mostofsky, S.H., Pekar, J.J., Lindquist, M.A., Eloyan, A., Caffo, B.S.","56427239900;56376561500;56710878400;34873055300;7003584880;7003771238;7007030971;38661178300;35069047000;","Parallel group independent component analysis for massive fMRI data sets",2017,"PLoS ONE","12","3","e0173496","","",,4,"10.1371/journal.pone.0173496","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85014930973&doi=10.1371%2fjournal.pone.0173496&partnerID=40&md5=cad8c7538dcf10d0625e0ad720271a9c",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85014930973
"Chen, S., Liu, K., Yang, Y., Xu, Y., Lee, S., Lindquist, M., Caffo, B.S., Vogelstein, J.T.","56427239900;7404199732;56316162300;57198771447;57201780823;7007030971;35069047000;15761214600;","An M-estimator for reduced-rank system identification",2017,"Pattern Recognition Letters","86",,,"76","81",,4,"10.1016/j.patrec.2016.12.012","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85009127209&doi=10.1016%2fj.patrec.2016.12.012&partnerID=40&md5=750cf7d45ec4248c5c46147c123a0a7d",Article,"Final","All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85009127209
"McCoy, R.G., Ngufor, C., Van Houten, H.K., Caffo, B., Shah, N.D.","55293516000;36802355600;8709515400;35069047000;35249316000;","Trajectories of Glycemic Change in a National Cohort of Adults with Previously Controlled Type 2 Diabetes",2017,"Medical Care","55","11",,"956","964",,12,"10.1097/MLR.0000000000000807","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85031817336&doi=10.1097%2fMLR.0000000000000807&partnerID=40&md5=dbbd747981ad7efa6c7755c19ec9a688",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85031817336
"Jha, A.K., Mena, E., Caffo, B., Ashrafinia, S., Rahmim, A., Frey, E., Subramaniam, R.M.","36238167200;36671551800;35069047000;57193507571;8960894400;7103012762;13905192400;","Practical no-gold-standard evaluation framework for quantitative imaging methods: Application to lesion segmentation in positron emission tomography",2017,"Journal of Medical Imaging","4","1","011011","","",,12,"10.1117/1.JMI.4.1.011011","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85014453387&doi=10.1117%2f1.JMI.4.1.011011&partnerID=40&md5=7b7eabafc40ef01b35ec033a6f6e6ccb",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85014453387
"Coughlin, J.M., Yuchuanwang, Y., Minn, I., Bienko, N., Ambinder, E.B., Xu, X., Peters, M.E., Dougherty, J.W., Vranesic, M., Koo, S.M., Ahn, H.-H., Lee, M., Cottrell, C., Sair, H.I., Sawa, A., Munro, C.A., Nowinski, C.J., Dannals, R.F., Lyketsos, C.G., Kassiou, M., Smith, G., Caffo, B., Mori, S., Guilarte, T.R., Pomper, M.G.","8600272300;57193168783;6506637806;57193169910;57191651460;57193162464;36997234600;57193168088;16305861500;56940015700;57190974071;57193166225;57193168153;14519858700;7005376260;7102387127;30967610000;7103156140;6601923472;7004711695;55391430300;35069047000;35418783800;7005536141;35248909800;","Imaging of glial cell activation and white matter integrity in brains of active and recently retired national football league players",2017,"JAMA Neurology","74","1",,"67","74",,107,"10.1001/jamaneurol.2016.3764","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85011320253&doi=10.1001%2fjamaneurol.2016.3764&partnerID=40&md5=4923ce87a57512724c377d5bbf64e0c7",Article,"Final","All Open Access, Bronze, Green",Scopus,2-s2.0-85011320253
"Han, F., Han, X., Liu, H., Caffo, B.","55377043500;57191480190;26642968600;35069047000;","Sparse median graphs estimation in a high-dimensional semiparametric model",2016,"Annals of Applied Statistics","10","3",,"1397","1426",,5,"10.1214/16-AOAS940","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84990898378&doi=10.1214%2f16-AOAS940&partnerID=40&md5=bc57d053240722ce2288317fb3279ce7",Article,"Final","All Open Access, Bronze, Green",Scopus,2-s2.0-84990898378
"Harrison, D.M., Li, X., Liu, H., Jones, C.K., Caffo, B., Calabresi, P.A., Van Zijl, P.","26638746600;56397720400;55719307000;7408260049;35069047000;35290391600;7006760849;","Lesion heterogeneity on high-field susceptibility MRI Is associated with multiple sclerosis severity",2016,"American Journal of Neuroradiology","37","8",,"1447","1453",,42,"10.3174/ajnr.A4726","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84982095818&doi=10.3174%2fajnr.A4726&partnerID=40&md5=82c32f8d78431def2b75915f1a1122be",Article,"Final","All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-84982095818
"Yue, C., Zipunnikov, V., Bazin, P.-L., Pham, D., Reich, D., Crainiceanu, C., Caffo, B.","56042193900;35232005200;8439138300;7203009692;7102312699;6603085071;35069047000;","Parameterization of White Matter Manifold-Like Structures Using Principal Surfaces",2016,"Journal of the American Statistical Association","111","515",,"1050","1060",,1,"10.1080/01621459.2016.1164050","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84991710741&doi=10.1080%2f01621459.2016.1164050&partnerID=40&md5=277c02f74761bc2452dcc8f640c2fcc3",Article,"Final","All Open Access, Green",Scopus,2-s2.0-84991710741
"Kass, R.E., Caffo, B.S., Davidian, M., Meng, X.-L., Yu, B., Reid, N.","7101731853;35069047000;7004177302;7401629915;56933322900;7006910855;","Ten Simple Rules for Effective Statistical Practice",2016,"PLoS Computational Biology","12","6","e1004961","","",8,51,"10.1371/journal.pcbi.1004961","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84978818608&doi=10.1371%2fjournal.pcbi.1004961&partnerID=40&md5=a6ea2a66e937b722f38a3ab9903db63f",Editorial,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-84978818608
"Airan, R.D., Vogelstein, J.T., Pillai, J.J., Caffo, B., Pekar, J.J., Sair, H.I.","18633735800;15761214600;7004264827;35069047000;7003771238;14519858700;","Factors affecting characterization and localization of interindividual differences in functional connectivity using MRI",2016,"Human Brain Mapping","37","5",,"1986","1997",,39,"10.1002/hbm.23150","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84961613003&doi=10.1002%2fhbm.23150&partnerID=40&md5=e170ddf503385178fa24f96e94a529e0",Article,"Final","All Open Access, Green",Scopus,2-s2.0-84961613003
"Fisher, A., Caffo, B., Schwartz, B., Zipunnikov, V.","57200903681;35069047000;55663268300;35232005200;","Fast, Exact Bootstrap Principal Component Analysis for p &gt; 1 Million",2016,"Journal of the American Statistical Association","111","514",,"846","860",,10,"10.1080/01621459.2015.1062383","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84983331305&doi=10.1080%2f01621459.2015.1062383&partnerID=40&md5=99ab3445922698e42936d0eb5b248641",Article,"Final","All Open Access, Green",Scopus,2-s2.0-84983331305
"Jha, A.K., Caffo, B., Frey, E.C.","36238167200;35069047000;7103012762;","A no-gold-standard technique for objective assessment of quantitative nuclear-medicine imaging methods",2016,"Physics in Medicine and Biology","61","7",,"2780","2801",,16,"10.1088/0031-9155/61/7/2780","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84962278203&doi=10.1088%2f0031-9155%2f61%2f7%2f2780&partnerID=40&md5=f97731aab3e74cc8564e803c2b78b663",Article,"Final","All Open Access, Green",Scopus,2-s2.0-84962278203
"Sair, H.I., Yahyavi-Firouz-Abadi, N., Calhoun, V.D., Airan, R.D., Agarwal, S., Intrapiromkul, J., Choe, A.S., Gujar, S.K., Caffo, B., Lindquist, M.A., Pillai, J.J.","14519858700;9843002800;7003595227;18633735800;7403190459;54784703800;36908446600;6507795849;35069047000;7007030971;7004264827;","Presurgical brain mapping of the language network in patients with brain tumors using resting-state fMRI: Comparison with task fMRI",2016,"Human Brain Mapping","37","3",,"913","923",,78,"10.1002/hbm.23075","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84958159604&doi=10.1002%2fhbm.23075&partnerID=40&md5=dac85510444e920a64911f4d8795f6f7",Article,"Final","All Open Access, Green",Scopus,2-s2.0-84958159604
"Qiu, H., Han, F., Liu, H., Caffo, B.","56710878400;55377043500;26642968600;35069047000;","Joint estimation of multiple graphical models from high dimensional time series",2016,"Journal of the Royal Statistical Society. Series B: Statistical Methodology","78","2",,"487","504",,40,"10.1111/rssb.12123","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84956581970&doi=10.1111%2frssb.12123&partnerID=40&md5=0065d12982d5aa962ddd7bae46c819e6",Article,"Final","All Open Access, Green",Scopus,2-s2.0-84956581970
"Rock, C., Thom, K.A., Harris, A.D., Li, S., Morgan, D., Milstone, A.M., Caffo, B., Joshi, M., Leekha, S.","55208544800;22935952200;7404040049;57189226955;14039408700;8660244700;35069047000;7202602107;14623002900;","A Multicenter Longitudinal Study of Hospital-Onset Bacteremia: Time for a New Quality Outcome Measure?",2016,"Infection Control and Hospital Epidemiology","37","2",,"143","148",,23,"10.1017/ice.2015.261","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84966300047&doi=10.1017%2fice.2015.261&partnerID=40&md5=9fa277353b1ac5e60fc3785719c7911c",Article,"Final","All Open Access, Green",Scopus,2-s2.0-84966300047
"Rock, C., Thomas, K.A., Harris, A.D., Li, S., Morgan, D., Milstone, A.M., Caffo, B., Joshi, M., Leekha, S.","55208544800;57214123894;7404040049;57189226955;14039408700;8660244700;35069047000;7202602107;14623002900;","Erratum: A Multicenter Longitudinal Study of Hospital-Onset Bacteremia: Time for a New Quality Outcome Measure? (Infection Control and Hospital Epidemiology 2015) doi:10.1017/ice.2015.261",2016,"Infection Control and Hospital Epidemiology","37","2",,"243","",,1,"10.1017/ice.2015.314","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84966277072&doi=10.1017%2fice.2015.314&partnerID=40&md5=48e55bd69eab2f4a783ae63641f7cb45",Erratum,"Final","All Open Access, Bronze",Scopus,2-s2.0-84966277072
"Kang, J., Caffo, B., Liu, H.","55698469900;35069047000;26642968600;","Editorial: Recent advances and challenges on Big Data analysis in neuroimaging",2016,"Frontiers in Neuroscience","10","NOV","505","","",,6,"10.3389/fnins.2016.00505","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85009774772&doi=10.3389%2ffnins.2016.00505&partnerID=40&md5=99bf74420057c3f603c0f34f204ea69d",Editorial,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85009774772
"Li, S., Chen, S., Yue, C., Caffo, B.","57217797574;56427239900;56042193900;35069047000;","A parcellation based nonparametric algorithm for independent component analysis with application to fMRI data",2016,"Frontiers in Neuroscience","10","JAN","15","","",,2,"10.3389/fnins.2016.00015","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84958038655&doi=10.3389%2ffnins.2016.00015&partnerID=40&md5=f5a978cf752c33d25383a4ecd853aaa1",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-84958038655
"Sharer, E., Crocetti, D., Muschelli, J., Barber, A.D., Nebel, M.B., Caffo, B.S., Pekar, J.J., Mostofsky, S.H.","56610351800;26027460500;40462056100;8582425200;34873055300;35069047000;7003771238;7003584880;","Neural Correlates of Visuomotor Learning in Autism",2015,"Journal of Child Neurology","30","14",,"1877","1886",,20,"10.1177/0883073815600869","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84947064035&doi=10.1177%2f0883073815600869&partnerID=40&md5=87c32404bce1ccb1d1e5cd7dfd64c757",Article,"Final","All Open Access, Green",Scopus,2-s2.0-84947064035
"Hiruy, H., Fuchs, E.J., Marzinke, M.A., Bakshi, R.P., Breakey, J.C., Aung, W.S., Manohar, M., Yue, C., Caffo, B.S., Du, Y., Abebe, K.Z., Spiegel, H.M.L., Rohan, L.C., McGowan, I., Hendrix, C.W.","56584414400;55487055800;25823249700;7101714682;56955395000;57049775000;56954623600;56042193900;35069047000;8680350400;23968706400;7006193892;6602297519;57210177995;57226252489;","A Phase 1 Randomized, Blinded Comparison of the Pharmacokinetics and Colonic Distribution of Three Candidate Rectal Microbicide Formulations of Tenofovir 1% Gel with Simulated Unprotected Sex (CHARM-02)",2015,"AIDS Research and Human Retroviruses","31","11",,"1098","1108",,18,"10.1089/aid.2015.0098","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84946709807&doi=10.1089%2faid.2015.0098&partnerID=40&md5=1208a4bd70de6c58b956a9466c314213",Article,"Final","All Open Access, Green",Scopus,2-s2.0-84946709807
"Leyva, F., Fuchs, E.J., Bakshi, R., Carballo-Dieguez, A., Ventuneac, A., Yue, C., Caffo, B., Du, Y., Torbenson, M., Li, L., Mullin, G., Lee, L., Rohan, L., Anton, P.A., Hendrix, C.W.","7004081367;55487055800;7101714682;6603962651;6504748626;56042193900;35069047000;8680350400;7004312220;55480399100;56954761400;35083850700;6602297519;7006569885;57226252489;","Simultaneous Evaluation of Safety, Acceptability, Pericoital Kinetics, and Ex Vivo Pharmacodynamics Comparing Four Rectal Microbicide Vehicle Candidates",2015,"AIDS Research and Human Retroviruses","31","11",,"1089","1097",,10,"10.1089/aid.2015.0086","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84946709487&doi=10.1089%2faid.2015.0086&partnerID=40&md5=dc962334eb5aba23938442b173b719c5",Article,"Final","All Open Access, Green",Scopus,2-s2.0-84946709487
"Choe, A.S., Jones, C.K., Joel, S.E., Muschelli, J., Belegu, V., Caffo, B.S., Lindquist, M.A., Van Zijl, P.C.M., Pekar, J.J.","36908446600;7408260049;36437394800;40462056100;13410636300;35069047000;7007030971;7006760849;7003771238;","Reproducibility and temporal structure in weekly resting-state fMRI over a period of 3.5 years",2015,"PLoS ONE","10","10","0140134","","",,75,"10.1371/journal.pone.0140134","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84950335593&doi=10.1371%2fjournal.pone.0140134&partnerID=40&md5=aa0a7bee9972c36f026b7e44794953a8",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-84950335593
